1. 央视,#genre#
海洋频道,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch22111116270462496793.rsc/96159_Uni.sdp
山东经济广播,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch24040915081276788638.rsc/100010_Uni.sdp

 3. 卫视,#genre#
北京卫视,rtsp://119.180.21.19:1554/iptv/import/Tvod/iptv/001/001/ch12051116365437815794.rsc/72347_Uni.sdp
东方卫视,rtsp://119.180.21.22:1554/iptv/import/Tvod/iptv/001/001/ch15050917541568689826.rsc/72284_Uni.sdp
江苏卫视,rtsp://119.180.21.10:1554/iptv/import/Tvod/iptv/001/001/ch12051116384379542816.rsc/72342_Uni.sdp
浙江卫视,rtsp://119.180.21.18:1554/iptv/import/Tvod/iptv/001/001/ch15050917541521964962.rsc/72281_Uni.sdp
湖南卫视,rtsp://119.180.21.12:1554/iptv/import/Tvod/iptv/001/001/ch12051116352384581471.rsc/72337_Uni.sdp
河南卫视,rtsp://119.180.21.6:1554/iptv/import/Tvod/iptv/001/001/ch10120118312827983078.rsc/72357_Uni.sdp
安徽卫视,rtsp://119.180.21.15:1554/iptv/import/Tvod/iptv/001/001/ch15050917541532308683.rsc/72277_Uni.sdp
天津卫视,rtsp://119.180.21.13:1554/iptv/import/Tvod/iptv/001/001/ch15050917541659846769.rsc/72247_Uni.sdp
辽宁卫视,rtsp://119.180.21.7:1554/iptv/import/Tvod/iptv/001/001/ch15050917541756096231.rsc/72253_Uni.sdp
深圳卫视,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch12051116392957055081.rsc/72334_Uni.sdp
东南卫视,rtsp://119.180.21.10:1554/iptv/import/Tvod/iptv/001/001/ch17082318094203998689.rsc/72230_Uni.sdp
湖北卫视,rtsp://119.180.21.19:1554/iptv/import/Tvod/iptv/001/001/ch15050917541519800547.rsc/72282_Uni.sdp
广东卫视,rtsp://119.180.21.22:1554/iptv/import/Tvod/iptv/001/001/ch15050917541650823873.rsc/72289_Uni.sdp
黑龙江卫视,rtsp://119.180.21.18:1554/iptv/import/Tvod/iptv/001/001/ch12051116400952898093.rsc/72346_Uni.sdp
贵州卫视,rtsp://119.180.21.22:1554/iptv/import/Tvod/iptv/001/001/ch17121814402415050847.rsc/76150_Uni.sdp
河北卫视,rtsp://119.180.21.13:1554/iptv/import/Tvod/iptv/001/001/ch17121814385494126166.rsc/76149_Uni.sdp
重庆卫视,rtsp://119.180.21.19:1554/iptv/import/Tvod/iptv/001/001/ch10120118293449046768.rsc/72343_Uni.sdp
海南卫视,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch10120116181598810422.rsc/72348_Uni.sdp
四川卫视,rtsp://119.180.21.9:1554/iptv/import/Tvod/iptv/001/001/ch11122400393964414144.rsc/72330_Uni.sdp
江西卫视,rtsp://119.180.21.7:1554/iptv/import/Tvod/iptv/001/001/ch10120118345500084693.rsc/72325_Uni.sdp
广西卫视,rtsp://119.180.21.13:1554/iptv/import/Tvod/iptv/001/001/ch10120114524702485505.rsc/72373_Uni.sdp
吉林卫视,rtsp://119.180.21.15:1554/iptv/import/Tvod/iptv/001/001/ch10120116035123677506.rsc/72344_Uni.sdp
云南卫视,rtsp://119.180.21.22:1554/iptv/import/Tvod/iptv/001/001/ch10120116144658191615.rsc/72352_Uni.sdp
新疆卫视,rtsp://119.180.21.18:1554/iptv/import/Tvod/iptv/001/001/ch10120118204473437661.rsc/72353_Uni.sdp
甘肃卫视,rtsp://119.180.21.6:1554/iptv/import/Tvod/iptv/001/001/ch21092610332476918454.rsc/92623_Uni.sdp
