1. 央视,#genre#
动漫秀场,rtsp://150.138.8.132/PLTV/88888888/224/3221227297/443309884.smil
东方财经,rtsp://150.138.8.132/PLTV/88888888/224/3221227270/443310048.smil
金色学堂,rtsp://150.138.8.132/PLTV/88888888/224/3221227262/443309935.smil
卡酷少儿,rtsp://150.138.8.132/PLTV/88888888/224/3221227167/448429701.smil
金鹰卡通,rtsp://150.138.8.132/PLTV/88888888/224/3221227164/443837474.smil
武术世界,rtsp://150.138.8.132/PLTV/88888888/224/3221227337/443330026.smil
文物宝库,rtsp://150.138.8.132/PLTV/88888888/224/3221227341/443330186.smil
梨园频道,rtsp://150.138.8.132/PLTV/88888888/224/3221227282/443330131.smil
重庆汽摩,rtsp://150.138.8.132/PLTV/88888888/224/3221227346/479155502.smil
快乐垂钓,rtsp://150.138.8.132/PLTV/88888888/224/3221227156/443330036.smil
中国交通,rtsp://150.138.8.132/PLTV/88888888/224/3221226801/392270229.smil
生态环境,rtsp://150.138.8.132/PLTV/88888888/224/3221227276/505952660.smil

精彩影视,http://150.138.8.143/00/SNM/CHANNEL00002012/index.m3u8
求索纪录,http://150.138.8.143/00/SNM/CHANNEL00000667/index.m3u8
纪实科教,http://150.138.8.143/00/SNM/CHANNEL00000332/index.m3u8
金鹰纪实,http://150.138.8.143/00/SNM/CHANNEL00000334/index.m3u8
生活时尚,http://150.138.8.143/00/SNM/CHANNEL00002019/index.m3u8
都市剧场,http://150.138.8.143/00/SNM/CHANNEL00002022/index.m3u8
乐游频道,http://150.138.8.143/00/SNM/CHANNEL00002016/index.m3u8
法治天地,http://150.138.8.143/00/SNM/CHANNEL00002010/index.m3u8
动漫秀场,http://150.138.8.143/00/SNM/CHANNEL00002000/index.m3u8
东方财经,http://150.138.8.143/00/SNM/CHANNEL00002025/index.m3u8
金色学堂,http://150.138.8.143/00/SNM/CHANNEL00002018/index.m3u8
卡酷少儿,http://150.138.8.143/00/SNM/CHANNEL00000661/index.m3u8
金鹰卡通,http://150.138.8.143/00/SNM/CHANNEL00002027/index.m3u8
文物宝库,http://150.138.8.143/00/SNM/CHANNEL00000658/index.m3u8
梨园频道,http://150.138.8.143/00/SNM/CHANNEL00000656/index.m3u8
武术世界,http://150.138.8.143/00/SNM/CHANNEL00000657/index.m3u8
重庆汽摩,http://150.138.8.143/00/SNM/CHANNEL00000711/index.m3u8
